S.No,chat_file,#user_utterances,#system_utterances,time
1,chatsession_06_01_55_PM.txt,6,6,65
2,chatsession_06_04_05_PM.txt,3,3,21
3,chatsession_08_54_08_PM.txt,1,1,52
4,chatsession_08_55_19_PM.txt,5,5,56
5,chatsession_08_57_54_PM.txt,3,3,17
6,chatsession_08_58_15_PM.txt,3,3,11
7,chatsession_09_11_32_PM.txt,2,2,10
8,chatsession_09_11_56_PM.txt,2,2,8
9,chatsession_09_12_19_PM.txt,14,14,304
10,chatsession_09_17_24_PM.txt,8,8,99
11,chatsession_09_19_05_PM.txt,9,9,177
12,chatsession_09_22_03_PM.txt,18,18,189
13,chatsession_09_28_36_PM.txt,5,5,59
